RELIANCE.NS
RELIANCE.BO
TCS.NS
TCS.BO
HDFCBANK.NS
HDFCBANK.BO
HDFC.BO
HDFC.NS
HINDUNILVR.NS
HINDUNILVR.BO
ICICIBANK.BO
ICICIBANK.NS
KOTAKBANK.NS
KOTAKBANK.BO
INFY.NS
INFY.BO
SBIN.BO
SBIN.NS
ITC.NS
ITC.BO
BAJFINANCE.NS
BAJFINANCE.BO
BHARTIARTL.NS
BHARTIARTL.BO
MARUTI.BO
MARUTI.NS
STAN.BO
AXISBANK.BO
AXISBANK.NS
LT.NS
LT.BO
ASIANPAINT.NS
ASIANPAINT.BO
ONGC.BO
ONGC.NS
HCLTECH.NS
HCLTECH.BO
BAJAJFINSV.BO
BAJAJFINSV.NS
WIPRO.NS
WIPRO.BO
NESTLEIND.BO
NESTLEIND.NS
COALINDIA.BO
COALINDIA.NS
HDFCLIFE.BO
HDFCLIFE.NS
ULTRACEMCO.BO
ULTRACEMCO.NS
IOC.NS
NTPC.BO
IOC.BO
NTPC.NS
DMART.NS
DMART.BO
SUNPHARMA.BO
SUNPHARMA.NS
INDUSINDBK.NS
INDUSINDBK.BO
BPCL.NS
BPCL.BO
TITAN.NS
TITAN.BO
POWERGRID.BO
POWERGRID.NS
SBILIFE.NS
SBILIFE.BO
HINDZINC.NS
HINDZINC.BO
BAJAJ-AUTO.BO
BAJAJ-AUTO.NS
BANDHANBNK.NS
DABUR.NS
DABUR.BO
ADANIPORTS.NS
ADANIPORTS.BO
SHREECEM.BO
SHREECEM.NS
TECHM.NS
TECHM.BO
BRITANNIA.NS
BRITANNIA.BO
PIDILITIND.NS
PIDILITIND.BO
GODREJCP.BO
GODREJCP.NS
ICICIPRULI.BO
ICICIPRULI.NS
HDFCAMC.NS
M&M.NS
M&M.BO
JSWSTEEL.NS
JSWSTEEL.BO
TATAMOTORS.BO
TATAMOTORS.NS
TATAMTRDVR.NS
TATAMTRDVR.BO
ICICIGI.NS
ICICIGI.BO
VEDL.NS
VEDL.BO
TATASTEEL.NS
TATASTEEL.BO
EICHERMOT.NS
EICHERMOT.BO
DLF.NS
DLF.BO
BATAINDIA.NS
GAIL.BO
GAIL.NS
SIEMENS.NS
SIEMENS.BO
INDIGO.BO
INDIGO.NS
GRASIM.NS
GRASIM.BO
BERGEPAINT.BO
BERGEPAINT.NS
HINDALCO.NS
DIVISLAB.NS
HEROMOTOCO.BO
HEROMOTOCO.NS
DIVISLAB.BO
HINDALCO.BO
DRREDDY.NS
DRREDDY.BO
MOTHERSUMI.NS
MOTHERSUMI.BO
INFRATEL.BO
INFRATEL.NS
BOSCHLTD.BO
BOSCHLTD.NS
UPL.BO
UPL.NS
PNB.NS
PNB.BO
GICRE.BO
GICRE.NS
MARICO.NS
MARICO.BO
MCDOWELL-N.NS
UNITDSPR.BO
HAVELLS.BO
HAVELLS.NS
AMBUJACEM.NS
AMBUJACEM.BO
PETRONET.BO
PETRONET.NS
HINDPETRO.BO
HINDPETRO.NS
COLPAL.BO
NMDC.BO
COLPAL.NS
NMDC.NS
ADANITRANS.NS
ADANITRANS.BO
CIPLA.BO
CIPLA.NS
PGHH.BO
PGHH.NS
BIOCON.NS
BIOCON.BO
LUPIN.NS
LUPIN.BO
GSKCONS.NS
GSKCONS.BO
CONCOR.BO
UBL.NS
UBL.BO
TORNTPHARM.BO
TORNTPHARM.NS
CONCOR.NS
PFC.NS
PFC.BO
LTI.NS
NAUKRI.NS
LTI.BO
NAUKRI.BO
PEL.BO
PEL.NS
MUTHOOTFIN.NS
MUTHOOTFIN.BO
ADANIGREEN.NS
WHIRLPOOL.BO
WHIRLPOOL.NS
IGL.NS
IGL.BO
RECLTD.NS
RECLTD.BO
MRF.BO
MRF.NS
ABBOTINDIA.BO
KANSAINER.BO
ABBOTINDIA.NS
ACC.BO
ACC.NS
KANSAINER.NS
ABB.BO
ABB.NS
GLAXO.BO
AUROPHARMA.BO
BANKBARODA.BO
GLAXO.NS
BANKBARODA.NS
AUROPHARMA.NS
ZEEL.NS
ZEEL.BO
SRTRANSFIN.BO
CADILAHC.BO
SRTRANSFIN.NS
CADILAHC.NS
PAGEIND.NS
PAGEIND.BO
BEL.BO
BEL.NS
ALKEM.BO
ALKEM.NS
ABCAPITAL.NS
ABCAPITAL.BO
ADANIPOWER.BO
ADANIPOWER.NS
ASHOKLEY.NS
ASHOKLEY.BO
GODREJPROP.BO
GODREJPROP.NS
HAL.NS
MINDIA.BO
MINDIA.NS
HONAUT.NS
AUBANK.NS
L&TFH.BO
NHPC.BO
NHPC.NS
AUBANK.BO
L&TFH.NS
CHOLAFIN.NS
CHOLAFIN.BO
HONAUT.BO
NIACL.BO
NIACL.NS
OFSS.NS
OFSS.BO
BANKINDIA.NS
BANKINDIA.BO
ADANIENT.BO
CANBK.BO
CANBK.NS
ADANIENT.NS
BHARATFORG.NS
BHARATFORG.BO
LICHSGFIN.BO
LICHSGFIN.NS
BATAINDIA.BO
JUBLFOOD.BO
JUBLFOOD.NS
IDFCFIRSTB.NS
RNAM.BO
RNAM.NS
VOLTAS.BO
VOLTAS.NS
GILLETTE.NS
GILLETTE.BO
TVSMOTOR.BO
TVSMOTOR.NS
GUJGAS.BO
APOLLOHOSP.NS
APOLLOHOSP.BO
M&MFIN.NS
M&MFIN.BO
VBL.NS
VBL.BO
RAJESHEXPO.NS
RAJESHEXPO.BO
TATAGLOBAL.BO
TATAGLOBAL.NS
PIIND.NS
PIIND.BO
SRF.NS
SRF.BO
ADANIGAS.NS
SAIL.NS
SAIL.BO
PFIZER.BO
PFIZER.NS
TRENT.NS
OBEROIRLTY.NS
OBEROIRLTY.BO
UNIONBANK.NS
UNIONBANK.BO
BALKRISIND.BO
BALKRISIND.NS
ABFRL.NS
RBLBANK.NS
ABFRL.BO
FEDERALBNK.NS
FEDERALBNK.BO
RAMCOCEM.NS
RAMCOCEM.BO
TRENT.BO
JINDALSTEL.BO
JINDALSTEL.BO
IDEA.BO
INDHOTEL.NS
INDHOTEL.BO
ASTRAL.BO
IDEA.NS
ASTRAL.NS
GUJGASLTD.NS
TATACHEM.NS
TATACHEM.BO
SUNTV.BO
CUB.NS
CUB.BO
SUNTV.NS
OIL.BO
OIL.NS
FRETAIL.NS
FRETAIL.BO
MPHASIS.BO
